# T muB eHG nBHG eQGP nBQGP 
0.11612399999999999   0.5 0.0012846127507914595 0.0008326412978564167 0.0013183255571711 0.0008641947918302405 
0.115922 0.501 0.0012774640586467995 0.0008305318719549431 0.0013122098210793496 0.0008628871313157098 
0.11572 0.502 0.0012712795578020241 0.0008291215565994175 0.001306114111268048 0.0008615627745159925 
0.11551600000000001 0.503 0.001265034027867472 0.0008276585941559846 0.00130003833928869 0.0008602283800892383 
0.115313 0.504 0.0012589129686428962 0.0008261794060606622 0.0012939824174220652 0.0008588740793208806 
0.11510899999999999 0.505 0.0012527200701608467 0.0008247193609470635 0.001287946258674487 0.0008575064488989533 
0.11490399999999999 0.506 0.0012458869584351774 0.0008227227988477475 0.0012819297767740464 0.0008561253896477362 
0.114698 0.507 0.001239726855084403 0.0008212348601854136 0.0012759328861668786 0.0008547308043347681 
0.11449200000000001 0.508 0.0012335582925307304 0.0008197118321211522 0.001269955502013446 0.0008533197547106035 
0.114286 0.509 0.001227563247247585 0.0008181724991215136 0.0012639975401848582 0.0008518923915783036 
0.114079  0.51 0.0012214322915357185 0.0008166376458170254 0.0012580589172591875 0.0008504515466467664 
0.113871 0.511 0.0012148090774094873 0.0008146594205686949 0.0012521395505178208 0.0008489971289852782 
0.113663 0.512 0.0012087943986682304 0.0008130383380134305 0.001246239357941827 0.0008475265287926421 
0.113454 0.513 0.0012028283673863236 0.0008114553412089942 0.0012403582582083293 0.0008460423395093572 
0.113245 0.514 0.0011968609806683524 0.0008098893758548777 0.0012344961706869215 0.0008445421131035299 
0.113035 0.515 0.0011908722519430707 0.0008082395037695127 0.0012286530154360738 0.0008430282858176122 
0.11282500000000001 0.516 0.0011845830216622867 0.0008063131947826896 0.0012228287131995782 0.000841498569621582 
0.112614 0.517 0.0011785494638277174 0.0008047408902263119 0.0012170231854029948 0.000839955245331573 
0.112402 0.518 0.0011726932528207787 0.0008030333975910267 0.0012112363541501364 0.0008383982335164848 
0.11219 0.519 0.0011667585772561029 0.000801331891395663 0.0012054681422195431 0.0008368254836621311 
0.11197700000000001  0.52 0.001160577118275303 0.0007993542942034249 0.001199718473060999 0.0008352390471123779 
0.111764 0.521 0.0011547626620760653 0.0007977223810369343 0.0011939872707920445 0.0008336370292473358 
0.111551 0.522 0.001148996201148776 0.0007960012976907933 0.0011882744601945275 0.0008320195851397235 
0.111336 0.523 0.0011431146720051963 0.0007942867314804332 0.0011825799667111434 0.0008303902091761092 
0.111122 0.524 0.0011373775347012787 0.000792584571056315 0.001176903716442017 0.0008287438220140756 
